,Unnamed: 0,Message,Spam
0,0,the internet's online pharmacy viagra - xenical - propecia - claritin - celbrex - renova - zyban now get your prescriptions approved by a panel of licensed medical doctors online without the need for an office visit. after approval of the doctor the medication will be shipped right to your door. visit the internets online pharmacy by clicking the link below: http://host.1bulk-email-software.com/ch4/pharm/purple/ to be removed from future mailings send an email to unlist4me@yahoo.com with remove in the subject,1
1,1,"dear consumers, increase your business sales! how?? by targeting millions of buyers via e-mail !! 25 million emails + bulk mailing software for only $150.00 super low price! act now !!! our fresh addresses will bring you incredible results! if you really want to get the word out regarding your services or products, bulk email is the best way to do so, period! advertising in newsgroups is good but you're competing with hundreds even thousands of other ads. will your customer's see your ad in the midst of all the others? free classifieds? (don't work) web site? (takes thousands of visitors) banners? (expensive and iffy) e-zine? (they better have a huge list) search engines? (easily buried with thousands of others) bulk email will allow you to directly contact your potential customers. they are much more likely to take the time to read about what you have to offer if it was as easy as reading it via email rather than searching through countless postings in newsgroups. the list's are divided into groups and are compressed. this will allow you to use the names right off the cd. order in the next 72 hours and recieve 4 bonuses!! order in the next 48 hours and recieve full technical support !!! act now !!!!!!!!!!!!!! *bonus #1 receive an additional cd-rom with millions of fresh, deliverable general internet e-mail addresses free!! *bonus #2 receive 2000 how to books, reports and manuals on cd-rom with reprint resale rights! produce for pennies and resell for big dollars! *bonus #3 receive the mass mailer bulk delivery software, with full operating instructions. this software will get the mail out quick! *bonus #4 receive the informational guide to bulk e-mail. this guide will give you all the information you need to get started! this is a one time package deal worth hundreds of dollars!! act now! this is a limited time offer! order while supplies last! receive this dream package for the unbelievable low, low price of only $150.00 ordering information: check by fax services or credit card info: o r d e r n o w . . . same day service (m-f) if your order is received before 3pm central . to place an order, you can call us at: 1-308-650-5905 ext 121 are fax your order to 1-415-873-2700 this number is for credit card orders only!!! check by fax services! __________________________________________ to order, via credit card simply cut/paste and print out the ez order form below and fax to our office today. ***** now only $150! ***** this ""special price"" is in effect for the next seven days, after that we go back to our regular price of $250.00 ... don't delay... you can be in business tomorrow! we accept visa, mastercard, amex, disc and checks by fax. ----------------------cut & paste---------------------- ---------------------ez order form--------------------- _____yes! i want everything! i am ordering within 72 hours. include my free ""business on a disk"" bonus along with your millions of e-mail addresses on cd (plus 1,093,808 bonus addresses) for the special price of only $150.00 + shipping as indicated below. _____yes! i missed the 72 hour special, but i am ordering cd with, super clean e-mail addresses within 7 days for the ""special"" price of only $250.00 + s&h. _____oop's i missed the 72 hour and 7 day ""specials"". i am ordering the cd at the regular price of $250.00 + s&h. ***please select your shipping option*** ____i would like to receive my package fedex overnight. i am including $15 for shipping. (hawaii & alaska $20 - canada $25, all other international add an *additional* $25 [$40 total] for shipping) ____i would like to receive my package fedex 2 day delivery. i'm including $10 for shipping. (sorry no canada or international delivery - continental u.s. shipping addresses only) ***please print carefully*** note: orders cannot be shipped without complete information including your signature. no exceptions! name____________________________________________________ company name____________________________________________ address_________________________________________________ (fedex can only ship to street addresses - no p.o. boxes) city, state, zip________________________________________ phone number____________________________________________ (required for shipping & tracking) email address___________________________________________ (print carefully - required in case we have a question and to send you a confirmation that your order has been shipped and for technical support if you order within 24 hrs) type of credit card: ______visa _____mastercard ______amex ______disc credit card# __________________________________________ expiration date________________________________________ name on card___________________________________________ total amount (including shipping): $___________________ date:x__________________ (required) signature:x_________________________________ i understand that i am purchasing the e-mail address on cd, and authorize the above charge to my credit card, the addresses are not rented, but are mine to use for my own mailing, over-and-over. free bonuses are included, but cannot be considered part of the financial transaction. i understand that it is my responsibility to comply with any laws applicable to my local area. as with all software, once opened the cd may not be returned, however, if found defective it will be replaced with like product at no charge. o r d e r n o w . . . same day service (m-f) if your order is received before 3pm central . to place an order, you can call us at: 1-308-650-5905 ext 121 are fax your order to1-415-873-2700 this number is for credit card orders only!!! check by fax services! if you would like to fax a check, paste your check below and fax it to our office along with the ez order form forms to: 1-415-873-2700 ********************************************************** ***24 hour fax services*** please paste your check here and fax it to us at 1-415-873-2700 ********************************************************** if you fax a check, there is no need for you to mail the original. we will draft a new check, with the exact information from your original check. all checks will be held for bank clearance. (7-10 days) make payable to: ""s.c.i.s"" -=-=-=-=--=-=-=-=-=-=-=offlist instructions=-=-=-=-=-=-=-=-=-=-=-= ---------------------------------------------------------------------- do not reply to this message - to be off from future mailings: mailto:trudymail2002@themail.com?subject=offitnow",1
2,2,"1) fight the risk of cancer! http://www.adclick.ws/p.cfm?o=315&s=pk007 2) slim down - guaranteed to lose 10-12 lbs in 30 days http://www.adclick.ws/p.cfm?o=249&s=pk007 3) get the child support you deserve - free legal advice http://www.adclick.ws/p.cfm?o=245&s=pk002 4) join the web's fastest growing singles community http://www.adclick.ws/p.cfm?o=259&s=pk007 5) start your private photo album online! http://www.adclick.ws/p.cfm?o=283&s=pk007 have a wonderful day, offer manager prizemama if you wish to leave this list please use the link below. http://www.qves.com/trim/?ilug@linux.ie%7c17%7c114258 -- irish linux users' group: ilug@linux.ie http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information. list maintainer: listmaster@linux.ie",1
3,3,"we are offering you quality marketing lists which have been verified giving you a 90% delivery rate for your marketing campaign. the lists are downloadable along with free sending software. we are currently adding 500,000 new addresses for download each week. please call [usa] 303 889 5732 (24hr recorded information)",1
4,4,"<html> <body> <font face=""ms sans serif""> <font size=2> <!doctype html public ""-//w3c//dtd html 4.0 transitional//en""><html><head><title>untitled document</title><meta http-equiv=content-type content=""text/html; charset=windows-1252""><meta content=""mshtml 5.50.4611.1300"" name=generator></head><body bgcolor=#ffffff><div align=center><table cellspacing=0 cellpadding=0 width=620 border=0> <tbody> <tr> <td width=100><br> <br></td> <td width=437> <div align=center> <h1><font face=""times new roman, times, serif"" color=#000066><b><i></i></b></font><i><b><img src=""http://211.152.134.203/~inbox002/bank.jpg"" width=""550"" height=""172""></b></i></h1> </div></td> <td valign=top width=83>&nbsp;</td> </tr></tbody></table><table cellspacing=0 cellpadding=0 width=621 border=0> <tbody> <tr> <td> <div align=center> <hr> <font face=""times new roman, times, serif""><b><font color=#0000cc size=4>volume over 1.2 trillion dollars a day<br> <font color=#000000 size=5>tap into the high-income opportunity found in the world's largest financial market.</font></font></b></font> <p align=center><font face=""times new roman, times, serif"" color=#ff0000 size=6><b><font color=#0000cc>the</font> foreign currency <font color=#0000cc>markets</font> <br></b></font></p> <hr width=560> <font face=""times new roman, times, serif"" color=#0000cc size=4><b></b></font></div> <blockquote> <div align=left> <p><font face=""times new roman, times, serif"" color=#0000cc size=4><b>discover how:<br> <font color=#000066>$20,000 ""properly positioned"" in the euro vs. the us dollar, on 12/13/00 could have returned $70,000 on 1/03/01</font></b></font></p> <p align=""center""><font face=""times new roman, times, serif"" color=#000066 size=4><b>learn how successful professional traders assisting you can potentially achieve double-digit monthly returns of 10-30% or more!</b></font></p> <div align=center><font size=5><a href=""http://211.152.134.203/~inbox002/signupform.htm""> <font color=#0000ff>click here</font></a></font><br> </div> <div align=center> <hr> <p><font face=""times new roman, times, serif"" color=#0000cc size=4><b><font color=""#000066"">for a <font color=""#0000ff"">free foreign currency trading newsletter</font> and a comprehensive report on the foreign currency markets.</font></b></font></p> <p><font face=""times new roman, times, serif"" color=#0000cc size=4><b><font color=""#000066"">click on the link below. </font></b></font></p> <font face=""times new roman, times, serif"" color=#0000cc size=4> <p> <div align=center><font size=5><a href=""http://211.152.134.203/~inbox002/signupform.htm""><font color=#0000ff>click here</font></a></font> <p></p> </div> <hr> <div align=center><font face=""times new roman, times, serif"" color=#0000cc size=1><font color=#000000 size=1><b>there is considerable exposure to risk in any forex (fx) transaction. before deciding to participate in fx trading,<br>you should carefully consider your objectives, level of experience and risk appetite. most importantly don't invest money <br>you can't afford to lose.</b></font></font></div></font></blockquote><font face=""times new roman, times, serif"" color=#0000cc size=4> <div align=center><font face=""arial, helvetica, sans-serif"" color=#000000 size=1><b>if you are receiving this e-mail in error, we sincerely apologize. simply click on reply remove in the subject line. we honor any and all remove requests. any attempt to disable this remove acct will only prevent others from being removed. again, we apologize for any inconvenience and it wont happen again. </b></font></div></font></td></tr></tbody></table></div></body></html><br> <br> </font></font><p><p><p><p><p><p><p><p><p><p> <p><p><p><p> </body> </html>",1
5,5,"recieve all channels on your satellite system! 1-888-406-4246 with our pre-programmed satelite cards get all channels availible including all pay-per-view channels!! never miss any of your favorite shows again! our pre-programmed access cards work on all satellite systems! our pre-programmed satellite cards are $329.00 and are shipped fedex 2-day cod delivery! comes with a 30-day money back guarantee, 3 year warranty and a 24-hour tech support line available! take your old card out, replace it with your new one and receive everything available! it's that easy! ------------------------------------------------------------- order yours today by calling 1-888-406-4246 this message will only be sent to you once. you will not receive any future updates. any questions please call 1-888-406-4246. 4405qbgo0-443kdbe8564dzal0-578ooqx1596bvim5-482giom4113kxl54 http://xent.com/mailman/listinfo/fork",1
6,6,"unbelievable prices on cell phones and accessories: http://www.chinaniconline.com/sales/ hands free ear buds 1.99! phone holsters 1.98! phone cases 1.98! car chargers 1.98! face plates as low as 2.98! lithium ion batteries as low as 6.94! http://www.chinaniconline.com/sales/ click below for accessories on all nokia, motorola lg, nextel, samsung, qualcomm, ericsson, audiovox phones at below wholesale prices! http://www.chinaniconline.com/sales/ ***new*** now also: accessories for palm iii, palm vii, palm iiic, palm v, palm m100 & m105, handspring visor, compaq ipaq*** car chargers 6.95! leather cases 13.98! usb chargers 11.98! hot sync cables11.98! http://www.chinaniconline.com/sales/ ***if you need assistance please call us (732) 751-1457*** ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ to be removed from future mailings please send your remove request to: removemenow68994@btamail.net.cn",1
7,7,"--------------------- note: your e-mail address was added to a database by you. i am sending my advertisement to this database and, if you are not interested in receiving ads similar to mine, it would be in your best interest to click the below link and opt-out of our mailings by simply adding your address to our globalblock list. your e-mail address will not be sold, validated or used in other mailings,as it belongs to you and only you , we respect that! --------------------- ...............> for your free membership, click this link: mailto:teamsuccessrequest@yahoo.com?subject=i_want_a_free_membership be sure to include your first and last name in the body of the leter or to be removed from my mailing list, click this link: mailto:teamsuccessrequest@yahoo.com?subject=remove is this what you're looking for... 1. do: want to work from home? 2. do: want to build yourself an income you can be proud of? 3. do: want to be able to tell your friends and family about what you're doing... instead of keeping it a secret so they don't laugh (i've been there, i know)? 4. do: want to be able to produce a copy of your check to any one interested b in this business? 5. do: want to have a monthly income which can be passed on when your time is up? 6. do: want to be in a team business which gives you the chance to help other people and get paid for it? 7. not: want to be scammed? 8. not: want to spend all your time recruiting? 9. not: want to talk to people on the phone? 10. not: wanting to be involved with a""get rich quick""program? please, do yourself a favor and check this out. it's absolutely free to get more information and you may cancel at any time! .......> for your free membership, click this link: mailto:teamsuccessrequest@yahoo.com?subject=i_want_a_free_membership be sure to include your first and last name in the body of the leter or to be removed from my mailing list, click this link: mailto:teamsuccessrequest@yahoo.com?subject=remove it does not matter where you live! this is an international business with people all over the world (over 160 different countries involved)! join our team and you will succeed! we have the people, the knowledge and the ability to guide you... step by step... to a profitable business. i am not going to hype you up with stuff trying to get you involved. in fact, if you think you're going to make money overnight with this, please do not click on the link. simply remove yourself from this list (instructions below). the difference between this online business and an offline business is that the tools you need for proven success... are given to you for free after you decide to create your own successful business! to verify what i'm saying, ask any local business person if they were given the tools they needed to make their business the success it is, for free when they started out.they'll laugh at the question! you do not need... 1. a small fortune to get started. 2. a lot of ""business knowledge"" or ""business contacts"" to get started. 3. to commute anywhere, talk to anyone or buy any items to get started. everyday hundreds of people join for free and get the free information theyneed to succeed. when they see that they too can make money with this business, they get involved. there are already over 2 million people who have joined for free to check things out. this business has been thriving for over five years! do you have... a. an internet connection. b. one or two hours a day to build your business. c. the ability to ask and receive all the help you need to succeed. d. the drive to succeed. e. the need for extra income each and every month. then you too can make more money for you and your family and you too can run your own profitable business! this is probably the only business in the world where you personally reap all the rewards from your personal efforts and not those above you getting it instead of you (i.e. your boss). i want to help you to make money on the 'net as part of our successful t.e.a.m. you owe it to yourself to at least look. click on the link below. ...............> for your free membership, click this link: mailto:teamsuccessrequest@yahoo.com?subject=i_want_a_free_membership be sure to include your first and last name in the body of the leter or to be removed from my mailing list, click this link: mailto:teamsuccessrequest@yahoo.com?subject=remove ============================================= thank you very much for your precious time! sincerely, d.woodward <a href=""mailto:teamsuccessrequest@yahoo.com? subject=i_want_a_free_membership"">mailto:teamsucc essrequest@yahoo.com?subject=i_want_a_free_membership</a> be sure to include your first and last name in the body of the leter to be removed from this mailing list, please click this link: mailto:teamsuccessrequest@yahoo.com and reply with ""remove"" in the subject line. aromttixnthdxslmcxklhukpevnjqgwebbsyq",1
8,8,"save annuity clients from sinking renewal rates! save annuity clients from sinking renewal rates! save annuity clients from sinking renewal rates! no surrender charges if the annuity renews below the bailout! 4.05% lifetime** bailout 6.50%* year 1(1) 4.50%* base rate 10% commission 10% penalty-free withdrawals rated ""a (excellent)"" by a.m. best (for financial strength) 10 year surrender charge not a 2 tiered annuity -- no annuitization required call today for more information on the loyal integritysm vision 10 annuity! 800-327-1460 ? or ? please fill out the form below for more information name: e-mail: phone: city: state: fairlane financial corporation <http://www.fairlane-annuity.com/> *the contract's base interest rate must fall more than 45 basis points below the initial base interest rate (effective 9/3/02) before the bailout provision may be exercised. this feature is subject to change on future contracts. **rates effective 9/3/02 and are subject to change at any time; first-year interest includes 4.50% base interest rate and 2.00% additional first-year interest. ***ages 0-80; ages 81-90: 7% commission. loyal integrity(sm) vision 10 annuity issued by loyal american life insurance company(sm), contract forms pcqxa02nw4 and pcbxa02nw4. certain limitations and exclusions apply. product not available in all states. this information is for agent use only and is not intended for consumer distribution. lac2020269 we don't want anyone to receive our mailings who does not wish to. this is professional communication sent to insurance professionals. to be removed from this mailing list, do not reply to this message. instead, go here: http://www.insuranceiq.com/optout <http://www.insuranceiq.com/optout/> legal notice <http://www.insuranceiq.com/legal.htm>",1
9,9,"tired of paying big bucks for satellite t.v.? then dont! for as low as $97 you can buy the programming card that will give you all the channels. yes all of them, including pay channels and pay per view. you will never have another satellite or cable bill again. http://11.lspeedhost.net/zzzzcards/ads for as little as $97 you now got a working unblocked receiver with all channels !!! 60+ movie channels 20+ pron channels ,etc.. all the channels are unlocked!!! including all pay per view and events for free! for life! http://11.lspeedhost.net/zzzzcards/ads 5963hgyk7-980lnzg6754dlnm8-294dcnp4174lcsd2-914qrtr7194fyjl55",1
